,city,month,temperature_2m_mean_max,temperature_2m_mean_mean,temperature_2m_mean_min,temperature_2m_mean_std,precipitation_sum_max,precipitation_sum_mean,precipitation_sum_min,precipitation_sum_std,wind_speed_10m_max_max,wind_speed_10m_max_mean,wind_speed_10m_max_min,wind_speed_10m_max_std
42,London,2013-07-01,24.0,19.325806451612905,14.5,2.39540779297047,25.4,1.5290322580645164,0.0,4.656120956933076,25.4,16.241935483870964,7.8,4.934556663203453
43,London,2013-08-01,22.9,17.732258064516127,15.3,1.4656937144288118,19.2,1.761290322580645,0.0,4.158659833756931,32.6,17.83225806451613,8.5,4.991552002919479
44,London,2013-09-01,20.4,14.293333333333333,11.1,2.402431718263714,14.4,1.7033333333333336,0.0,3.1761485387541124,31.9,16.796666666666667,7.7,5.984375249467297
45,London,2013-10-01,17.2,12.916129032258063,8.9,2.423371862260454,18.1,2.9483870967741943,0.0,4.001072436880054,46.5,24.312903225806448,10.2,8.215462735414802
46,London,2013-11-01,11.9,6.510000000000001,2.4,2.6029625032073453,9.3,1.773333333333333,0.0,2.5854944612579245,35.8,20.95,7.7,7.385902228173477
47,London,2013-12-01,11.2,6.316129032258064,2.6,2.3114348753092093,16.8,2.761290322580645,0.0,4.48365010672888,53.6,26.696774193548393,9.2,12.86692099587071
48,London,2014-01-01,10.6,6.151612903225805,3.4,2.0490438368081074,17.9,3.5290322580645155,0.0,4.161105105488772,43.8,26.361290322580647,8.4,7.98551511255869
49,London,2014-02-01,9.6,6.514285714285714,4.3,1.4263951677579303,11.6,3.55,0.0,3.712690947826667,52.5,31.353571428571424,17.7,9.746356665645283
50,London,2014-03-01,12.6,7.7548387096774185,3.9,2.369224726878312,8.7,0.9290322580645162,0.0,1.9591143489490512,34.8,19.580645161290324,8.3,6.474381275707032
51,London,2014-04-01,13.0,10.806666666666667,7.0,1.5745679940275972,11.9,2.1266666666666665,0.0,3.189306846466727,30.8,18.09666666666667,9.0,5.832340473797706
52,London,2014-05-01,18.4,12.687096774193547,8.2,2.1331888391926097,12.8,2.5032258064516126,0.0,3.398184208364593,36.2,18.66774193548387,7.3,7.7199908072818415
53,London,2014-06-01,19.1,16.00333333333333,12.4,1.6392772447202064,6.8,1.05,0.0,1.8294054055706281,24.1,15.493333333333334,6.7,4.729433394169439
54,London,2014-07-01,23.0,18.929032258064513,15.5,1.9940233279122046,11.8,1.6387096774193548,0.0,2.9296959363677813,28.6,16.993548387096777,10.8,3.912964390660953
55,London,2014-08-01,19.7,15.941935483870967,12.9,1.890462764078042,20.6,3.116129032258064,0.0,5.60530087055658,34.0,19.9741935483871,9.4,5.286017262043669
56,London,2014-09-01,18.8,15.85,12.4,1.4968357429522152,7.0,0.43666666666666665,0.0,1.311088869218447,20.7,13.596666666666666,6.0,4.03412028040583
57,London,2014-10-01,17.6,13.338709677419352,9.8,2.0129046043557453,17.3,2.454838709677419,0.0,3.90451351725815,38.5,21.729032258064517,8.4,6.7651160890944615
58,London,2014-11-01,14.8,9.046666666666665,2.9,2.2539977256258346,16.4,3.273333333333333,0.0,3.877159761486745,32.3,18.963333333333328,9.7,7.071676547707926
59,London,2014-12-01,11.5,5.1903225806451605,-0.5,3.2339196896552305,10.5,1.1838709677419357,0.0,2.8367935859808986,41.9,24.503225806451614,10.9,7.7642979451232526
60,London,2015-01-01,11.1,4.62258064516129,0.4,3.0193497840229724,13.0,2.1387096774193552,0.0,3.5452952316513633,45.9,25.803225806451607,9.9,9.451648317303098
61,London,2015-02-01,8.2,3.8642857142857143,-1.1,2.095535693151,8.1,1.596428571428571,0.0,2.4881172627566235,34.2,20.696428571428566,7.3,7.8974671112000685
